,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
206,I Am Not A Human Being II (Deluxe),16,2IzQkVT6p3UuMnraUkNqrH,Hot Revolver - Album Version (Edited),spotify:track:2IzQkVT6p3UuMnraUkNqrH,0.00624,0.627,0.505,0.0,0.104,-6.909,0.057,129.082,0.25,11
207,I Am Not A Human Being II (Deluxe),17,0jvec7TOroAdRPsUlIDmFj,My Homies Still - Edited Version,spotify:track:0jvec7TOroAdRPsUlIDmFj,0.00147,0.731,0.579,0.0,0.0918,-6.483,0.215,74.914,0.429,22
268,Tha Carter IV (Japan Version),19,2r6p9EwUsBxuHVplE7vDXr,Novacane,spotify:track:2r6p9EwUsBxuHVplE7vDXr,0.0695,0.555,0.628,0.0,0.38,-7.177,0.157,74.588,0.526,0
269,Tha Carter IV (Japan Version),20,5eAoq6NhTKLzWemCanfsHB,I Got Some Money On Me,spotify:track:5eAoq6NhTKLzWemCanfsHB,0.000324,0.671,0.817,0.0,0.117,-5.016,0.0672,162.948,0.521,0
270,Tha Carter IV (Deluxe),1,2ikizHdvajtNX79LUsVagh,Intro,spotify:track:2ikizHdvajtNX79LUsVagh,0.00185,0.622,0.811,0.0,0.149,-5.985,0.207,130.93,0.413,40
271,Tha Carter IV (Deluxe),2,6v2eEC9Nr9POe5xPUm8361,Blunt Blowin,spotify:track:6v2eEC9Nr9POe5xPUm8361,0.00222,0.721,0.738,0.0,0.224,-5.682,0.0649,135.988,0.375,58
272,Tha Carter IV (Deluxe),3,00NUqFMIpCsrYPbM9YpVHQ,MegaMan,spotify:track:00NUqFMIpCsrYPbM9YpVHQ,0.0114,0.504,0.856,0.0,0.256,-5.024,0.286,101.866,0.335,51
273,Tha Carter IV (Deluxe),4,0z5ZPs57J2KERwM1tBM2GF,6 Foot 7 Foot,spotify:track:0z5ZPs57J2KERwM1tBM2GF,0.000707,0.365,0.751,0.0,0.318,-5.429,0.304,79.119,0.604,67
274,Tha Carter IV (Deluxe),5,37sImz0wkOcX1cMWzo080d,Nightmares Of The Bottom,spotify:track:37sImz0wkOcX1cMWzo080d,0.00953,0.81,0.577,3.48e-06,0.0838,-6.142,0.149,140.065,0.408,49
275,Tha Carter IV (Deluxe),6,3FFcZZq3Z3EJrhUecwcMdG,She Will,spotify:track:3FFcZZq3Z3EJrhUecwcMdG,0.000402,0.364,0.841,0.0,0.242,-4.831,0.119,100.14,0.0837,60
276,Tha Carter IV (Deluxe),7,5DjLed65sri5juDG6kdPPK,How To Hate,spotify:track:5DjLed65sri5juDG6kdPPK,0.222,0.402,0.754,0.0,0.527,-5.955,0.0874,145.493,0.246,45
277,Tha Carter IV (Deluxe),8,08VaVTsCjqSS5BlgGiYzej,Interlude,spotify:track:08VaVTsCjqSS5BlgGiYzej,0.0197,0.665,0.905,0.0,0.209,-4.224,0.267,130.864,0.532,44
278,Tha Carter IV (Deluxe),9,7HaggpJGAfEgH8wyMLOIPl,John,spotify:track:7HaggpJGAfEgH8wyMLOIPl,0.0143,0.589,0.821,0.0,0.112,-4.473,0.111,77.472,0.424,54
279,Tha Carter IV (Deluxe),10,4a0O6q59CDWBwVU4Gm4WHN,Abortion,spotify:track:4a0O6q59CDWBwVU4Gm4WHN,0.0154,0.329,0.866,0.0,0.221,-4.444,0.268,150.557,0.17,41
280,Tha Carter IV (Deluxe),11,6CNlnlcnQ7DMFmloIRR1e3,So Special,spotify:track:6CNlnlcnQ7DMFmloIRR1e3,0.0118,0.404,0.871,0.0,0.87,-4.606,0.133,145.414,0.192,43
281,Tha Carter IV (Deluxe),12,4aX4Oycsk1fhHIee1zqsDe,How To Love,spotify:track:4aX4Oycsk1fhHIee1zqsDe,0.000177,0.644,0.661,5.14e-06,0.108,-6.093,0.0418,154.001,0.272,63
282,Tha Carter IV (Deluxe),13,0h6sfKXFb641F2E13rY4f2,President Carter,spotify:track:0h6sfKXFb641F2E13rY4f2,0.689,0.676,0.618,0.00821,0.127,-7.495,0.196,79.799,0.466,50
283,Tha Carter IV (Deluxe),14,5o5KX1f1JBQ2SxGzE8RQQA,It's Good,spotify:track:5o5KX1f1JBQ2SxGzE8RQQA,0.0244,0.666,0.715,0.0,0.119,-7.292,0.156,85.356,0.1,47
284,Tha Carter IV (Deluxe),15,6xzV1SAarFrTCYMzWjxy97,Outro,spotify:track:6xzV1SAarFrTCYMzWjxy97,0.0553,0.734,0.864,0.0,0.305,-4.841,0.141,131.146,0.652,40
285,Tha Carter IV (Deluxe),16,7kfeISl8OKZ18wHdjK7PsO,I Like The View,spotify:track:7kfeISl8OKZ18wHdjK7PsO,0.00305,0.517,0.851,1.65e-06,0.189,-5.935,0.106,96.296,0.387,42
287,Tha Carter IV (Deluxe),18,0UgOoittThKoeePLufhLTs,Two Shots,spotify:track:0UgOoittThKoeePLufhLTs,0.00484,0.419,0.615,7.03e-06,0.13,-8.56,0.197,144.937,0.38,41
304,Tha Carter IV (Deluxe),17,6MreoQf8oixWI2xRcw3Fv1,Mirror,spotify:track:6MreoQf8oixWI2xRcw3Fv1,0.858,0.331,0.622,0.0,0.104,-7.291,0.092,64.468,0.388,65
327,Tha Carter IV (Deluxe),4,7gdGdDgpCDy2kACTqvXbYa,6 Foot 7 Foot - Edited Version,spotify:track:7gdGdDgpCDy2kACTqvXbYa,0.000821,0.454,0.746,0.0,0.311,-5.499,0.274,83.509,0.591,42
332,Tha Carter IV (Deluxe),9,3TuIxvSEu4nfyrVHZJwBXY,John - Edited Version,spotify:track:3TuIxvSEu4nfyrVHZJwBXY,0.0121,0.547,0.823,0.0,0.11,-4.495,0.181,154.97,0.424,24
